id;description
59;EXPIRED METER CENTRAL BUSINESS DISTRICT
34;PARK OR STAND ON CROSSWALK
115;WINDOWS MISSING OR CRACKED BEYOND 6 
84;IMPROPER SIDE COWL/FENDER LAMPS
51;NO DISPLAY OF BACK-IN PERMIT
32;DOUBLE PARKING OR STANDING
90;PARKED VEHICLES - LIGHTING REGULATIONS
9;OUTSIDE DIAGONAL MARKINGS
100;BURGLAR ALARM SOUNDING OVER 4 MINUTES
118;PARK VEHICLE TO DISPLAY FOR SALE
77;MOTORCYCLE HEAD LAMP VISIBLE 500'
109;SAFETY BELTS REQUIRED
8;PARK MOTORCYCLE/SCOOTER PARK AT 90 DEGREE ANGLE
29;20'OF CROSSWALK
121;EXCESSIVE DIESEL POWERED VEHICLE ENGINE RUNNING
2;PARK/STAND ON BICYCLE PATH
91;IMPROPER LAMP FOR PARKED VEH ON UNLIT ST
62;FAIL TO DISPLAY TV NEWS PERMIT
57;EXPIRED METER OR OVERSTAY
110;COMMERCIAL IDENTIFICATION ETC. REQUIRED
80;REAR PLATE LIT AND LEGIBLE FOR 50'
16;INVALID PLACARD
68;SERVICE BRAKES:STOPPING CAPABILITY
106;PARKED VEHICLES - IMPROPER DISPLAY OF RE
78;TWO HEAD LAMPS REQUIRED VISIBLE 1000'
42;NO CITY STICKER OR IMPROPER DISPLAY
126;FAIL TO PAY OR OUTSIDE SPACE IN CITY LOT
38;PARK OR STAND IN VIADUCT/UNDERPASS
27;DISABLED CURB CUT
123;HAZARDOUS DILAPITATED VEHICLE
103;REAR PLATE REQUIRED MOTORCYCLE/TRAILER
39;PARK OR STAND ON OR WITHIN 10' RR TRACKS
75;USE OF SIREN/BELL/WHISTLE PROHIBITED
120;PARK VEHICLE TO SELL MERCHANDISE
24;WITHIN 15' OF FIRE HYDRANT
56;NO PARKING IN LOOP
20;NO STANDING/PARKING TIME RESTRICTED
11;STREET CLEANING OR SPECIAL EVENT
47;PARK OR STAND IN BUS/TAXI/CARRIAGE STAND
64;MOTOR RUNNING IN WRIGLEY BUS PERMIT ZONE
89;PARKED VEHICLES-LIGHTING REGULATIONS
119;PARK VEHICLE TO GREASE OR REPAIR
14;DISABLED PARKING
107;EXPIRED PLATES OR TEMPORARY REGISTRATION
19;RUSH HOUR PARKING
18;SNOW ROUTE: 2'' OF SNOW OR MORE
67;SEMITRAILER BRAKES REQD DURING OPERATION
48;PARK OR STAND NEAR FIRE STATION OR RR XX
92;DEPR./DIMMED LAMPS
52;TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET
65;BRAKES REQUIRED DURING OPERATION
58;EXP. METER NON-CENTRAL BUSINESS DISTRICT
71;BRAKES, GOOD WORKING ORDER
3;PARKED/STANDING UNATTENDED W/MOTOR RUNNI
93;SUSPENSION MODIFIED BEYOND 3 
25;PARK IN FIRE LANE
125;NO PARK IN PRIVATE LOT
97;NO OR IMPROPER MUFFLER
31;THEATER ENTRANCE/EXIT
60;NON PYMT/NON-COM VEH PARKED IN COM LOADING ZONE
82;MORE THAN ONE OR IMPROPER SPOT LAMP
63;PARK/STAND IN WRIGLEY BUS PERMIT ZONE
45;IMPROPER DISPLAY OF CITY STICKER
21;RESIDENTIAL PARKING PERMIT ZONE
99;BURGLAR ALARM
76;HEADLIGHTS REQUIRED
102;REAR AND FRONT PLATE REQUIRED
73;WINDSHIELD WIPERS REQUIRED
114;LAMPS BROKEN OR INOPERABLE
79;RED REAR LAMP REQUIRED VISIBLE 500'
23;INDUSTRIAL PERMIT PARKING
61;PARK OUTSIDE METERED SPACE
33;PARK OR STAND WITHIN INTERSECTION
66;MOTORCYCLE BRAKES REQ'D DURING OPERATION
81;2 REAR TRAILER LAMPS REQ'D VISIBLE 500'
49;PARKING/STANDING PROHIBITED ANYTIME
1;STAND, PARK, OR OTHER USE OF BUS LANE
41;PARK OR STAND ON CHA PROPERTY
111;PROJECTING LOAD (LEFT OR RIGHT SIDE)
94;PROPER FRONT AND REAR BUMPERS REQUIRED
104;FRONT PLATE REQUIRED FOR TRUCK TRACTORS
53;TRUCK,MOTOR HOME, BUS BUSINESS STREET
87;MORE THAN FOUR FRONT MOUNTED LAMPS
43;NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.
88;IMPROPER LAMPS NON-MOTOR VEHICLE
86;BACK-UP LAMP LIT DURING OPERATION
7;OBSTRUCT ROADWAY
128;PARK IN CITY LOT OVER 30 DAYS
112;PROJECTING LOAD (REAR)
72;BRAKES REQUIRED IN GOOD WORKING ORDER
13;Special Events
101;DISPLAY OF REGISTRATION PLATES
6;WRONG DIRECTION OR 12'' FROM CURB
15;DISABLED PARKING ZONE
5;NO OPERATOR SIGNAL
35;PARK OR STAND ON SIDEWALK
10;STREET CLEANING
122;ABANDONED VEH. FOR 7 DAYS OR INOPERABLE
44;NO CITY STICKER VEHICLE OVER 16,000 LBS.
37;PARK OR STAND ON BRIDGE
28;UNDER FIRE ESCAPE
96;TWO RED REAR TRAILER REFLECTORS REQUIRED
54;VEH 6' OR HIGHER WITHIN 20' OF CROSSWALK
85;IMPROPER RUNNING BOARD LAMPS
26;BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE
116;OBSTRUCTED OR IMPROPERLY TINTED WINDOWS
