infraction;tickets
EXPIRED PLATES OR TEMPORARY REGISTRATION;1855740
STREET CLEANING OR SPECIAL EVENT;1589478
EXP. METER NON-CENTRAL BUSINESS DISTRICT;1560777
PARKING/STANDING PROHIBITED ANYTIME;1382385
NO CITY STICKER OR IMPROPER DISPLAY;1111622
RESIDENTIAL PERMIT PARKING;973911
RUSH HOUR PARKING;922821
REAR AND FRONT PLATE REQUIRED;873435
EXPIRED METER CENTRAL BUSINESS DISTRICT;805494
EXPIRED METER OR OVERSTAY;652763
NO STANDING/PARKING TIME RESTRICTED;509895
NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.;376800
WITHIN 15' OF FIRE HYDRANT;371380
TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET;194558
DOUBLE PARKING OR STANDING;185981
PARK OR BLOCK ALLEY;140325
PARK OR STAND ON CROSSWALK;123472
OBSTRUCT ROADWAY;109734
REAR PLATE REQUIRED MOTORCYCLE/TRAILER;83328
DISABLED PARKING ZONE;76727
SMOKED/TINTED WINDOWS PARKED/STANDING;76071
STOP SIGN OR TRAFFIC SIGNAL;75936
NONCOMPLIANT PLATE(S);73341
ABANDONED VEH. FOR 7 DAYS OR INOPERABLE;66212
BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE;63633
SAFETY BELTS REQUIRED;61044
PARK OR STAND ON SIDEWALK;58183
3-7 AM SNOW ROUTE;54086
WRONG DIRECTION OR 12'' FROM CURB;48327
WINDOWS MISSING OR CRACKED BEYOND 6 ;46224
DISABLED CURB CUT;37436
PARK VEHICLE TO DISPLAY FOR SALE;34401
STAND, PARK, OR OTHER USE OF BUS LANE;31654
PARK OUTSIDE METERED SPACE;31267
HAZARDOUS DILAPITATED VEHICLE;28821
TRUCK,MOTOR HOME, BUS BUSINESS STREET;21882
DISPLAY OF REGISTRATION PLATES;21819
PARK OR STAND ON PARKWAY;20657
NO PARK IN PRIVATE LOT;19923
FAIL TO PAY OR OUTSIDE SPACE IN CITY LOT;19566
20'OF CROSSWALK;15393
OBSTRUCTED OR IMPROPERLY TINTED WINDOWS;12555
CURB LOADING ZONE;12095
PARK IN FIRE LANE;11920
PARK OR STAND IN VIADUCT/UNDERPASS;11109
TWO HEAD LAMPS REQUIRED VISIBLE 1000';9585
SNOW ROUTE: 2'' OF SNOW OR MORE;9414
IMPROPER DISPLAY OF CITY STICKER;9281
TRUCK TRAILOR/SEMI/TRAILER PROHIBITED;9122
