ALTERING INTERCITY BUS PERMIT;16783MJ;1
ANGLE PARKING;FBG7141;5
ANGLE PARKING-COMM VEHICLE;2886977;2
BEYOND MARKED SPACE;52966MD;34
BIKE LANE;83485MH;318
BLUE ZONE;54945NC;2
BUS LANE VIOLATION;XHKR86;110
BUS PARKING IN LOWER MANHATTAN;91798MJ;13
COMML PLATES-UNALTERED VEHICLE;77313MK;133
CROSSWALK;12068MJ;123
DETACHED TRAILER;PT53460;63
DIVIDED HIGHWAY;20694MB;3
DOUBLE PARKING;14828MJ;493
DOUBLE PARKING-MIDTOWN COMML;96594MJ;534
ELEVATED/DIVIDED HIGHWAY/TUNNL;60228MD;1
EXCAVATION-VEHICLE OBSTR TRAFF;FXP6464;3
EXPIRED METER;EWV4653;2
EXPIRED METER-COMM METER ZONE;16588MM;1
EXPIRED MUNI METER;71338JZ;82
EXPIRED MUNI MTR-COMM MTR ZN;33735MG;70
FAIL TO DISP. MUNI METER RECPT;80220MM;268
FAIL TO DSPLY MUNI METER RECPT;CDV7028;297
FAILURE TO DISPLAY BUS PERMIT;OYB3170;5
FAILURE TO STOP AT RED LIGHT;T675377C;18
FIRE HYDRANT;44184MK;132
FRONT OR BACK PLATE MISSING;96091MA;270
IDLING;10992ME;5
IMPROPER REGISTRATION;42836JZ;25
INSP STICKER-MUTILATED/C'FEIT;67081MM;16
INSP. STICKER-EXPIRED/MISSING;FAX2663;107
INTERSECTION;19876MN;15
MARGINAL STREET/WATER FRONT;10507MM;1
MIDTOWN PKG OR STD-3HR LIMIT;63360NA;2
MISCELLANEOUS;F99MSB;1
MISSING EQUIPMENT;BU58782;13
NGHT PKG ON RESID STR-COMM VEH;52134BB;70
NIGHTTIME STD/ PKG IN A PARK;KSX1002;4
NO MATCH-PLATE/STICKER;GDN6814;38
NO OPERATOR NAM/ADD/PH DISPLAY;OYB2246;2
NO PARKING-DAY/TIME LIMITS;XX165A;716
NO PARKING-EXC. AUTH. VEHICLE;HGR2040;6
NO PARKING-STREET CLEANING;85962MN;103
NO PARKING-TAXI STAND;0076FMD;1
NO STANDING EXCP D/S;60189MJ;141
NO STANDING EXCP DP;AW636E;2
NO STANDING-BUS LANE;46726MJ;205
NO STANDING-BUS STOP;83460MH;537
NO STANDING-COMM METER ZONE;XDXJ58;74
NO STANDING-COMMUTER VAN STOP;62719MM;3
NO STANDING-DAY/TIME LIMITS;12125MJ;772
NO STANDING-EXC. AUTH. VEHICLE;84024MK;173
NO STANDING-EXC. TRUCK LOADING;82005MJ;67
NO STANDING-HOTEL LOADING;29108ML;58
NO STANDING-OFF-STREET LOT;KHV6838;1
NO STANDING-TAXI STAND;98404JX;200
NO STD(EXC TRKS/GMTDST NO-TRK);XBDY27;25
NO STOP/STANDNG EXCEPT PAS P/U;038P34;1
NO STOPPING-DAY/TIME LIMITS;56253MG;399
NON-COMPLIANCE W/ POSTED SIGN;JLD4749;37
OBSTRUCTING DRIVEWAY;0320YP;7
OBSTRUCTING TRAFFIC/INTERSECT;98420;3
OT PARKING-MISSING/BROKEN METR;BDG8282;1
OTHER;JLU6235;7
OVERNIGHT TRACTOR TRAILER PKG;AT904A;14
OVERTIME PKG-TIME LIMIT POSTED;HCD8045;12
OVERTIME STANDING DP;001LKD;1
OVERTIME STDG D/S;0174FRD;1
PARKED BUS-EXC. DESIG. AREA;8412A;90
PEDESTRIAN RAMP;JHM5648;8
PHTO SCHOOL ZN SPEED VIOLATION;76BWEP;116
PKG IN EXC. OF LIM-COMM MTR ZN;29217ML;5
PLTFRM LFTS LWRD POS COMM VEH;2703418;318
RAILROAD CROSSING;21885MG;2
REG STICKER-MUTILATED/C'FEIT;62934JM;65
REG. STICKER-EXPIRED/MISSING;AMW5639;57
REMOVE/REPLACE FLAT TIRE;HSJ2863;1
SAFETY ZONE;86198MM;96
SELLING/OFFERING MCHNDSE-METER;16694MG;19
SIDEWALK;12125MJ;223
STORAGE-3HR COMMERCIAL;57348MN;62
TRAFFIC LANE;68072MJ;7
UNALTERED COMM VEH-NME/ADDRESS;JEY8793;1
UNAUTHORIZED BUS LAYOVER;BN02040;14
UNAUTHORIZED PASSENGER PICK-UP;OYB3170;6
VACANT LOT;JMK4289;2
VEH-SALE/WSHNG/RPRNG/DRIVEWAY;B2U8811;1
VEHICLE FOR SALE(DEALERS ONLY);ACR7776;2
VIN OBSCURED;25807MB;10
WASH/REPAIR VEHCL-REPAIR ONLY;01BKRD;1
WRONG WAY;26302TC;18
